"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Login with wrong username and correct password","Default Suite","Fri May 09 08:09:30 EEST 2025","passed","Fri May 09 08:09:30 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_13"
"","316","Login with error_user","Default Suite","Fri May 09 08:09:28 EEST 2025","passed","Fri May 09 08:09:28 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_05"
"","364","Login with locked_out_user and wrong password","Default Suite","Fri May 09 08:09:29 EEST 2025","passed","Fri May 09 08:09:29 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_08"
"","1178","Login with locked_out_user - known bug","Default Suite","Fri May 09 08:09:14 EEST 2025","passed","Fri May 09 08:09:15 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_01"
"","318","Login with performance_glitch_user and wrong password","Default Suite","Fri May 09 08:09:29 EEST 2025","passed","Fri May 09 08:09:30 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_10"
"","333","Login with problem_user","Default Suite","Fri May 09 08:09:22 EEST 2025","passed","Fri May 09 08:09:22 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_03"
"","334","Login with visual_user","Default Suite","Fri May 09 08:09:28 EEST 2025","passed","Fri May 09 08:09:28 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_06"
"","311","Login with correct username but wrong password","Default Suite","Fri May 09 08:09:28 EEST 2025","passed","Fri May 09 08:09:29 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_07"
"","5320","Login with performance_glitch_user","Default Suite","Fri May 09 08:09:22 EEST 2025","passed","Fri May 09 08:09:28 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_04"
"","259","Login with visual_user and wrong password","Default Suite","Fri May 09 08:09:30 EEST 2025","passed","Fri May 09 08:09:30 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_12"
"","6347","Login with locked_out_user - known bug","Default Suite","Fri May 09 08:09:15 EEST 2025","broken","Fri May 09 08:09:22 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_02"
"","244","Login with wrong username and wrong password","Default Suite","Fri May 09 08:09:30 EEST 2025","passed","Fri May 09 08:09:31 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_14"
"","255","Login with error_user and wrong password","Default Suite","Fri May 09 08:09:30 EEST 2025","passed","Fri May 09 08:09:30 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_11"
"","407","Login with problem_user and wrong password","Default Suite","Fri May 09 08:09:29 EEST 2025","passed","Fri May 09 08:09:29 EEST 2025","tests.Login_Test_Detailed","DEPI_G7 swag_labs","tests.Login_Test_Detailed","TC_09"
